   -1.53453 1.00131   -1.53451 1.00132   -1.53449 1.00132   -1.53447 1.00132
   -1.53445 1.00132   -1.53443 1.00132   -1.53441 1.00132   -1.53439 1.00133
   -1.53437 1.00133   -1.53435 1.00133   -1.53432 1.00133   -1.53430 1.00133
   -1.53428 1.00133   -1.53426 1.00133   -1.53424 1.00134   -1.53422 1.00134
   -1.53420 1.00134   -1.53418 1.00134   -1.53416 1.00134   -1.53414 1.00134
   -1.53412 1.00134   -1.53409 1.00135   -1.53407 1.00135   -1.53405 1.00135
   -1.53403 1.00135   -1.53401 1.00135   -1.53399 1.00135   -1.53397 1.00136
   -1.53395 1.00136   -1.53393 1.00136   -1.53390 1.00136   -1.53388 1.00136
   -1.53386 1.00136   -1.53384 1.00137   -1.53382 1.00137   -1.53380 1.00137
   -1.53378 1.00137   -1.53375 1.00137   -1.53373 1.00137   -1.53371 1.00137
   -1.53369 1.00138   -1.53367 1.00138   -1.53365 1.00138   -1.53363 1.00138
   -1.53360 1.00138   -1.53358 1.00138   -1.53356 1.00139   -1.53354 1.00139
   -1.53352 1.00139   -1.53350 1.00139   -1.53347 1.00139   -1.53345 1.00139
   -1.53343 1.00140   -1.53341 1.00140   -1.53339 1.00140   -1.53337 1.00140
   -1.53334 1.00140   -1.53332 1.00140   -1.53330 1.00141   -1.53328 1.00141
   -1.53326 1.00141   -1.53323 1.00141   -1.53321 1.00141   -1.53319 1.00141
   -1.53317 1.00142   -1.53314 1.00142   -1.53312 1.00142   -1.53310 1.00142
   -1.53308 1.00142   -1.53306 1.00142   -1.53303 1.00143   -1.53301 1.00143
   -1.53299 1.00143   -1.53297 1.00143   -1.53294 1.00143   -1.53292 1.00143
   -1.53290 1.00144   -1.53288 1.00144   -1.53285 1.00144   -1.53283 1.00144
   -1.53281 1.00144   -1.53279 1.00144   -1.53276 1.00145   -1.53274 1.00145
   -1.53272 1.00145   -1.53270 1.00145   -1.53267 1.00145   -1.53265 1.00145
   -1.53263 1.00146   -1.53261 1.00146   -1.53258 1.00146   -1.53256 1.00146
   -1.53254 1.00146   -1.53251 1.00146   -1.53249 1.00147   -1.53247 1.00147
   -1.53245 1.00147   -1.53242 1.00147   -1.53240 1.00147   -1.53238 1.00148
   -1.53235 1.00148   -1.53233 1.00148   -1.53231 1.00148   -1.53228 1.00148
   -1.53226 1.00148   -1.53224 1.00149   -1.53221 1.00149   -1.53219 1.00149
   -1.53217 1.00149   -1.53214 1.00149   -1.53212 1.00149   -1.53210 1.00150
   -1.53207 1.00150   -1.53205 1.00150   -1.53203 1.00150   -1.53200 1.00150
   -1.53198 1.00151   -1.53196 1.00151   -1.53193 1.00151   -1.53191 1.00151
   -1.53189 1.00151   -1.53186 1.00152   -1.53184 1.00152   -1.53182 1.00152
   -1.53179 1.00152   -1.53177 1.00152   -1.53174 1.00152   -1.53172 1.00153
   -1.53170 1.00153   -1.53167 1.00153   -1.53165 1.00153   -1.53162 1.00153
   -1.53160 1.00154   -1.53158 1.00154   -1.53155 1.00154   -1.53153 1.00154
   -1.53150 1.00154   -1.53148 1.00154   -1.53146 1.00155   -1.53143 1.00155
   -1.53141 1.00155   -1.53138 1.00155   -1.53136 1.00155   -1.53134 1.00156
   -1.53131 1.00156   -1.53129 1.00156   -1.53126 1.00156   -1.53124 1.00156
   -1.53121 1.00157   -1.53119 1.00157   -1.53116 1.00157   -1.53114 1.00157
   -1.53111 1.00157   -1.53109 1.00158   -1.53107 1.00158   -1.53104 1.00158
   -1.53102 1.00158   -1.53099 1.00158   -1.53097 1.00159   -1.53094 1.00159
   -1.53092 1.00159   -1.53089 1.00159   -1.53087 1.00159   -1.53084 1.00160
   -1.53082 1.00160   -1.53079 1.00160   -1.53077 1.00160   -1.53074 1.00160
   -1.53072 1.00161   -1.53069 1.00161   -1.53067 1.00161   -1.53064 1.00161
   -1.53062 1.00161   -1.53059 1.00162   -1.53057 1.00162   -1.53054 1.00162
   -1.53052 1.00162   -1.53049 1.00162   -1.53047 1.00163   -1.53044 1.00163
   -1.53041 1.00163   -1.53039 1.00163   -1.53036 1.00163   -1.53034 1.00164
   -1.53031 1.00164   -1.53029 1.00164   -1.53026 1.00164   -1.53024 1.00164
   -1.53021 1.00165   -1.53018 1.00165   -1.53016 1.00165   -1.53013 1.00165
   -1.53011 1.00165   -1.53008 1.00166   -1.53005 1.00166   -1.53003 1.00166
   -1.53000 1.00166   -1.52998 1.00167   -1.52995 1.00167   -1.52992 1.00167
   -1.52990 1.00167   -1.52987 1.00167   -1.52985 1.00168   -1.52982 1.00168
   -1.52979 1.00168   -1.52977 1.00168   -1.52974 1.00168   -1.52971 1.00169
   -1.52969 1.00169   -1.52966 1.00169   -1.52964 1.00169   -1.52961 1.00170
   -1.52958 1.00170   -1.52956 1.00170   -1.52953 1.00170   -1.52950 1.00170
   -1.52948 1.00171   -1.52945 1.00171   -1.52942 1.00171   -1.52940 1.00171
   -1.52937 1.00172   -1.52934 1.00172   -1.52932 1.00172   -1.52929 1.00172
   -1.52926 1.00172   -1.52923 1.00173   -1.52921 1.00173   -1.52918 1.00173
   -1.52915 1.00173   -1.52913 1.00174   -1.52910 1.00174   -1.52907 1.00174
   -1.52905 1.00174   -1.52902 1.00174   -1.52899 1.00175   -1.52896 1.00175
   -1.52894 1.00175   -1.52891 1.00175   -1.52888 1.00176   -1.52885 1.00176
   -1.52883 1.00176   -1.52880 1.00176   -1.52877 1.00177   -1.52874 1.00177
   -1.52872 1.00177   -1.52869 1.00177   -1.52866 1.00177   -1.52863 1.00178
   -1.52861 1.00178   -1.52858 1.00178   -1.52855 1.00178   -1.52852 1.00179
   -1.52849 1.00179   -1.52847 1.00179   -1.52844 1.00179   -1.52841 1.00180
   -1.52838 1.00180   -1.52835 1.00180   -1.52833 1.00180   -1.52830 1.00181
   -1.52827 1.00181   -1.52824 1.00181   -1.52821 1.00181   -1.52818 1.00181
   -1.52816 1.00182   -1.52813 1.00182   -1.52810 1.00182   -1.52807 1.00182
   -1.52804 1.00183   -1.52801 1.00183   -1.52798 1.00183   -1.52796 1.00183
   -1.52793 1.00184   -1.52790 1.00184   -1.52787 1.00184   -1.52784 1.00184
   -1.52781 1.00185   -1.52778 1.00185   -1.52775 1.00185   -1.52773 1.00185
   -1.52770 1.00186   -1.52767 1.00186   -1.52764 1.00186   -1.52761 1.00186
   -1.52758 1.00187   -1.52755 1.00187   -1.52752 1.00187   -1.52749 1.00187
