10
     -5.25     -7.50
     -2.25     -7.50
     -2.25      1.50
      2.25     -7.50
      5.25     -7.50
      5.25      7.50
      2.25      7.50
      2.25     -1.50
     -2.25      7.50
     -5.25      7.50
8
     -5.25     -7.50
      5.25     -7.50
      5.25     -4.50
     -2.25     -4.50
     -2.25      4.50
      5.25      4.50
      5.25      7.50
     -5.25      7.50
12
     -5.25     -7.50
      5.25     -7.50
      5.25     -4.50
     -2.25     -4.50
     -2.25     -1.50
      1.75     -1.50
      1.75      1.50
     -2.25      1.50
     -2.25      4.50
      5.25      4.50
      5.25      7.50
     -5.25      7.50
12
     -5.25     -5.50
     -3.25     -7.50
      3.25     -7.50
      5.25     -5.50
      5.25      7.50
      2.25      7.50
      2.25     -3.50
      1.25     -4.50
     -1.25     -4.50
     -2.25     -3.50
     -2.25      7.50
     -5.25      7.50
10
     -2.25     -7.50
     -2.25     -1.50
      1.75     -1.50
      1.75      1.50
     -2.25      1.50
     -2.25      4.50
      4.75      4.50
      4.75      7.50
     -5.25      7.50
     -5.25     -7.50
19
     -2.25     -7.50
     -2.25     -0.50
      2.25     -7.50
      5.25     -7.50
      0.75     -0.50
      3.25     -0.50
      5.25      1.00
      5.25      5.50
      3.25      7.50
     -5.25      7.50
     -5.25      4.50
      1.25      4.50
      2.25      4.00
      2.25      3.00
      1.25      2.50
     -2.25      2.50
     -2.25      4.50
     -5.25      4.50
     -5.25     -7.50
12
     -5.25     -5.50
     -3.25     -7.50
      3.25     -7.50
      5.25     -5.50
      5.25      7.50
      2.25      7.50
      2.25     -3.50
      1.25     -4.50
     -1.25     -4.50
     -2.25     -3.50
     -2.25     -1.50
     -5.25     -1.50
