10
  0    0 0 0.3
  3    0 0 0.3
  3    9 0 0.3
  7.5  0 0 0.3
 10.5  0 0 0.3
 10.5 15 0 0.3
  7.5 15 0 0.3
  7.5  6 0 0.3
  3   15 0 0.3
  0   15 0 0.3

8
  0    0 0 0.4
 10.5  0 0 0.4
 10.5  3 0 0.4
  3    3 0 0.4
  3   12 0 0.4
 10.5 12 0 0.4
 10.5 15 0 0.4
  0   15 0 0.4

12
  0    0 0 0.5
 10.5  0 0 0.5
 10.5  3 0 0.5
  3    3 0 0.5
  3    6 0 0.5
  7    6 0 0.5
  7    9 0 0.5
  3    9 0 0.5
  3   12 0 0.5
 10.5 12 0 0.5
 10.5 15 0 0.5
  0   15 0 0.5

23
  1    0   0 0.6
  8.5  0   0 0.6
 10.5  2   0 0.6
 10.5  6   0 0.6
  9    7.5 0 0.6
 10.5  9   0 0.6
 10.5 13   0 0.6
  8.5 15   0 0.6
  1   15   0 0.6
  0   14   0 0.6
  0   12   0 0.6
  6.5 12   0 0.6
  7.5 11   0 0.6
  7.5 10   0 0.6
  6.5  9   0 0.6
  2.5  9   0 0.6
  2.5  6   0 0.6
  6.5  6   0 0.6
  7.5  5   0 0.6
  7.5  4   0 0.6
  6.5  3   0 0.6
  0    3   0 0.6
  0    1   0 0.6

14
  0    0   0  0.7
  8.5  0   0  0.7
 10.5  2   0  0.7
 10.5 13   0  0.7
  8.5 15   0  0.7
  0   15   0  0.7
  0    3.01 0 0.7
  3    3.01 0 0.7
  3   12   0  0.7
  6.5 12   0  0.7
  7.5 11   0  0.7
  7.5  4   0  0.7
  6.5  3   0  0.7
  0    3   0  0.7
